Run,Execution Time
1,5.73298580001574
2,0.054259900003671646
3,0.053633200004696846
4,0.05499740003142506
5,0.05444570002146065
6,0.05076569993980229
7,0.05868769995868206
8,0.048893800005316734
9,0.05186970008071512
10,0.05528460000641644
11,0.05441089998930693
12,0.08659650001209229
13,0.05446539993863553
14,0.05371300003025681
15,0.05040420009754598
16,0.0497830999083817
17,0.053867600043304265
18,0.04896250006277114
19,0.0521449000807479
20,0.048302800045348704
21,0.0509508999530226
22,0.055631799972616136
23,0.05013810005038977
24,0.05406330002006143
25,0.053350299946032465
26,0.05120129999704659
27,0.051015099976211786
28,0.05159189994446933
29,0.04996119998395443
30,0.048063999973237514
31,0.05373030004557222
Media,0.05350622667077308
