Run,Execution Time
1,2.144518099958077
2,0.0617058000061661
3,0.03142589994240552
4,0.024935800000093877
5,0.02187449997290969
6,0.02117229998111725
7,0.01882830006070435
8,0.01783719996456057
9,0.015583599917590618
10,0.016113499994389713
11,0.034116200054995716
12,0.0369409000268206
13,0.023232900071889162
14,0.02255760005209595
15,0.021072300034575164
16,0.02115449996199459
17,0.02008279995061457
18,0.01585139997769147
19,0.016163600026629865
20,0.016925000003539026
21,0.016175800003111362
22,0.016791799920611084
23,0.019407200044952333
24,0.017595899989828467
25,0.018438099999912083
26,0.017417400027625263
27,0.016399399959482253
28,0.015995200024917722
29,0.014833100023679435
30,0.014433899894356728
31,0.017251600045710802
Media,0.021410449997832377
